,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
137,Liberty,31.8335,-81.5004,62.71,36,0,6.91,US,1666215295
138,Geraldton,-28.7667,114.6,59.41,88,100,4.61,AU,1666215070
139,Tautira,-17.7333,-149.15,76.59,80,10,10.94,PF,1666215295
140,Zhezkazgan,47.8043,67.7144,49.3,59,100,21.63,KZ,1666215259
141,Bengkulu,-3.8004,102.2655,73.96,92,100,1.68,ID,1666215204
142,Pangnirtung,66.1451,-65.7125,21.2,63,75,5.75,CA,1666215296
143,Forlì,44.2236,12.0528,65.41,87,20,3.44,IT,1666215296
144,Camocim,-2.9022,-40.8411,80.26,73,23,17.38,BR,1666215296
145,Hasaki,35.7333,140.8333,54.28,51,0,14.34,JP,1666215191
146,Sørland,67.667,12.6934,42.66,72,96,10.02,NO,1666215217
147,Kushmurun,52.4503,64.6311,44.29,69,100,7.29,KZ,1666215297
148,Chingirlau,51.095,54.0814,53.37,53,100,19.42,KZ,1666215297
149,Kumul,42.8,93.45,48.52,53,0,2.66,CN,1666215222
150,Verkhoyansk,67.5447,133.385,4.26,93,100,1.74,RU,1666215297
151,Bāfq,31.6128,55.4107,65.48,36,1,1.36,IR,1666215261
152,Hūn,29.1268,15.9477,69.91,53,40,6.55,LY,1666215298
153,Casino,-28.8667,153.05,67.57,97,100,1.7,AU,1666215298
154,Luba,3.4568,8.5547,76.89,85,88,5.82,GQ,1666215298
155,Hithadhoo,-0.6,73.0833,80.02,78,98,8.55,MV,1666215160
156,Chokurdakh,70.6333,147.9167,-7.76,100,100,3.51,RU,1666215142
157,Arman',59.7,150.1667,12.02,58,74,8.1,RU,1666215298
158,Lakes Entrance,-37.8811,147.981,58.15,67,0,0.49,AU,1666215299
159,George Town,5.4112,100.3354,78.24,89,20,5.01,MY,1666215017
160,Castro,-24.7911,-50.0119,66.9,88,11,3.58,BR,1666214974
161,Kungurtug,50.5994,97.5228,26.29,94,74,1.66,RU,1666215299
162,East London,-33.0153,27.9116,74.01,86,67,11.59,ZA,1666215152
163,Nuuk,64.1835,-51.7216,27.21,86,75,4.61,GL,1666215275
164,Talnakh,69.4865,88.3972,34.21,97,100,13.18,RU,1666215228
165,Deer Lake,49.1667,-57.4316,55.26,100,75,9.22,CA,1666215017
166,Muhos,64.808,25.9931,38.98,96,100,4.21,FI,1666215300
167,Makakilo City,21.3469,-158.0858,82.72,61,100,11.5,US,1666215300
168,Los Zacatones,22.95,-102.05,64.76,52,95,9.89,MX,1666215300
169,Pangkalanbuun,-2.6833,111.6167,74.19,99,100,2.08,ID,1666215242
170,Galich,58.3797,42.3475,34.57,94,67,4.21,RU,1666215301
171,Anadyr,64.75,177.4833,39.7,93,75,11.18,RU,1666215301
172,San Patricio,28.017,-97.5169,74.17,23,0,6.4,US,1666215191
173,Magdagachi,53.45,125.8,29.73,76,50,3.78,RU,1666215301
174,Nísia Floresta,-6.0911,-35.2086,79.61,77,29,13.65,BR,1666215302
175,Lamu,-2.2717,40.902,73.62,86,10,9.46,KE,1666215302
176,Wanning,18.8003,110.3967,75.61,90,93,3.51,CN,1666215303
177,Klaksvík,62.2266,-6.589,43.72,70,57,8.72,FO,1666215163
178,Opuwo,-18.0607,13.84,70.65,29,10,2.98,NA,1666215303
179,Aklavik,68.2191,-135.0107,26.6,93,100,8.05,CA,1666215266
180,Tual,-5.6667,132.75,84.2,71,99,5.46,ID,1666215304
181,Tessalit,20.1986,1.0114,82.17,21,20,8.7,ML,1666215212
182,Xichang,27.8964,102.2634,52.47,90,10,1.7,CN,1666215207
183,Māndal,25.45,74.5667,68.81,44,31,6.2,IN,1666215304
184,Valleyview,55.0667,-117.2859,62.64,34,100,10.36,CA,1666215052
185,Ajdabiya,30.7554,20.2263,70.99,59,99,8.95,LY,1666215304
186,Aberdeen,57.1437,-2.0981,49.19,87,75,10.36,GB,1666215021
187,Oktyabr'skoye,43.0645,44.7417,46.54,100,67,2.24,RU,1666215305
188,Mokhotlong,-29.2894,29.0675,57.42,76,99,2.17,LS,1666215305
189,Los Llanos de Aridane,28.6585,-17.9182,67.75,80,100,5.75,ES,1666215031
190,Wenling,28.3669,121.36,55.65,81,86,8.08,CN,1666215305
191,Balkhash,46.844,74.9804,45.73,55,96,19.86,KZ,1666215306
192,Río Gallegos,-51.6226,-69.2181,55.45,26,75,16.11,AR,1666215306
193,Tūkrah,32.5341,20.5791,69.42,65,39,4.94,LY,1666215306
194,Kutum,14.2,24.6667,76.21,25,25,11.92,SD,1666215182
195,Flinders,-34.5833,150.8552,66.38,89,100,4.0,AU,1666215240
196,Nosy Varika,-20.5833,48.5333,68.94,84,63,2.59,MG,1666215307
197,Dikson,73.5069,80.5464,32.52,98,100,18.9,RU,1666215171
198,Carutapera,-1.195,-46.02,79.84,77,97,11.59,BR,1666215250
199,Meulaboh,4.1363,96.1285,75.15,88,100,2.55,ID,1666215245
200,Ciudad Bolivar,8.1222,-63.5497,87.62,53,96,4.99,VE,1666215307
201,Vicuña,-30.0319,-70.7081,66.78,40,4,7.34,CL,1666215308
202,Bouloupari,-21.8667,166.05,78.71,59,25,4.18,NC,1666215308
203,Broome,42.2506,-75.833,45.7,78,100,10.36,US,1666215215
204,Bellavista,-7.0561,-76.5911,83.21,68,93,1.57,PE,1666215308
205,Guerrero Negro,27.9769,-114.0611,87.15,31,5,3.47,MX,1666215148
206,Winnemucca,40.973,-117.7357,80.65,9,0,14.97,US,1666215196
207,Gamba,-2.65,10.0,76.89,86,96,8.08,GA,1666215190
208,Karratha,-20.7377,116.8463,73.8,72,0,7.67,AU,1666215192
209,Airai,-8.9266,125.4092,63.72,87,90,1.41,TL,1666215154
210,Penha,-26.7694,-48.6458,71.47,83,20,8.05,BR,1666215309
211,Hambantota,6.1241,81.1185,79.14,94,20,6.91,LK,1666215292
212,Vasterhaninge,59.1167,18.1,39.88,90,67,10.07,SE,1666215309
213,The Valley,18.217,-63.0578,84.34,79,40,14.97,AI,1666215310
214,Farmington,36.7281,-108.2187,73.2,29,0,8.05,US,1666215295
215,Hamilton,39.1834,-84.5333,54.81,35,0,13.8,US,1666215017
216,Bonthe,7.5264,-12.505,76.96,88,69,3.87,SL,1666215246
217,Peniche,39.3558,-9.3811,61.11,89,0,17.94,PT,1666215310
218,Fortuna,40.5982,-124.1573,60.98,66,1,6.64,US,1666215311
219,Necochea,-38.5473,-58.7368,69.03,54,97,15.88,AR,1666215119
220,Caravelas,-17.7125,-39.2481,74.14,76,34,7.47,BR,1666215296
221,Panlaitan,12.1191,119.8486,81.52,79,99,5.1,PH,1666215311
222,Severo-Kuril'sk,50.6789,156.125,40.95,63,71,32.48,RU,1666215177
223,Quatre Cocos,-20.2078,57.7625,69.91,71,52,11.18,MU,1666215311
224,Chernyshevskiy,63.0128,112.4714,25.0,90,98,7.43,RU,1666215312
225,Rawson,-43.3002,-65.1023,76.44,29,71,6.26,AR,1666215185
226,Bosaso,11.2842,49.1816,79.95,60,5,3.13,SO,1666215312
227,Naze,28.3667,129.4833,70.72,61,7,21.14,JP,1666215223
228,Tomatlán,19.9333,-105.25,82.33,82,100,4.36,MX,1666215253
229,Pedernales,18.0384,-71.744,83.7,72,62,0.98,DO,1666215313
230,Huilong,31.8111,121.655,58.93,69,1,9.55,CN,1666215313
231,Mergen,49.1833,125.2167,36.66,59,36,6.67,CN,1666215313
232,Suntar,62.1444,117.6319,25.61,86,100,8.14,RU,1666215314
233,Vasto,42.1243,14.7059,67.68,70,0,7.36,IT,1666215314
234,Bratsk,56.1325,101.6142,32.49,91,93,6.76,RU,1666215314
235,Xinqing,48.2333,129.5,30.79,82,16,5.84,CN,1666215315
236,Ahipara,-35.1667,173.1667,60.53,62,12,11.56,NZ,1666215270
237,Yangambi,0.8102,24.4336,69.4,98,100,1.28,CD,1666215315
238,Pochutla,15.7432,-96.4661,78.82,97,100,1.92,MX,1666215316
239,Lida,53.8833,25.2997,37.69,77,6,11.7,BY,1666215316
240,Davila,18.4726,120.5763,75.18,92,100,26.91,PH,1666215316
241,Presidente Médici,-11.1753,-61.9014,81.91,68,65,6.6,BR,1666215316
242,Dehlorān,32.6941,47.2679,79.66,14,8,3.83,IR,1666215317
243,Fuzhou,26.0614,119.3061,66.09,75,89,4.29,CN,1666215317
244,Bandarbeyla,9.4942,50.8122,78.48,85,92,12.01,SO,1666215317
245,City of San Pedro,14.35,121.0167,78.03,91,75,2.3,PH,1666215268
246,Rocha,-34.4833,-54.3333,64.63,83,27,10.42,UY,1666214966
247,Markova,48.6758,24.4138,43.52,86,99,9.15,UA,1666215318
248,Eydhafushi,5.1033,73.0708,80.69,79,91,15.88,MV,1666215318
249,Wagar,16.1525,36.2032,86.85,43,52,11.36,SD,1666215319
250,Villa Carlos Paz,-31.4241,-64.4978,60.08,88,100,2.77,AR,1666215319
251,Puerto Escondido,15.85,-97.0667,79.63,61,100,6.91,MX,1666215319
252,Saint-Leu,-21.15,55.2833,68.83,73,19,7.9,RE,1666215186
253,Fort Oglethorpe,34.949,-85.2569,60.62,31,0,9.22,US,1666215320
254,Port Elizabeth,-33.918,25.5701,77.09,82,20,4.61,ZA,1666215218
255,Husavik,66.0449,-17.3389,33.89,77,100,10.71,IS,1666215186
256,Rio Grande,-32.035,-52.0986,66.31,94,10,8.59,BR,1666215320
257,Rockland,41.1668,-74.0496,51.96,58,95,9.08,US,1666215320
258,Egvekinot,66.3167,-179.1667,30.31,97,100,30.13,RU,1666215249
259,Vostok,46.4856,135.8833,30.87,65,70,5.59,RU,1666215321
260,Sarāhan,31.5167,77.8,43.9,59,2,6.17,IN,1666215321
261,Kyiv,50.4333,30.5167,47.71,89,100,1.01,UA,1666215321
262,Kurdzhinovo,43.9884,40.9552,50.72,83,30,3.29,RU,1666215322
263,Vung Tau,10.346,107.0843,78.91,84,57,12.86,VN,1666215322
264,Artigas,-30.4,-56.4667,71.96,70,99,8.95,UY,1666215322
265,Iralaya,15.0,-83.2333,82.08,78,26,7.16,HN,1666215298
266,Komatipoort,-25.4332,31.9548,70.05,80,5,3.27,ZA,1666215323
267,Great Falls,47.5002,-111.3008,76.41,19,0,12.66,US,1666215294
268,Bonfim,3.0833,-59.95,82.35,76,99,6.44,BR,1666215323
269,Rapid Valley,44.0625,-103.1463,73.11,23,0,27.63,US,1666215323
270,Birjand,32.8663,59.2211,50.47,46,0,9.22,IR,1666215324
271,High Level,58.5169,-117.136,55.51,62,75,3.44,CA,1666215014
272,Harper,4.375,-7.7169,76.55,88,90,6.31,LR,1666215324
273,Bertoua,4.5833,13.6833,68.65,98,100,3.76,CM,1666215324
274,Ancud,-41.8697,-73.8203,53.22,84,97,10.92,CL,1666215156
275,Cockburn Town,21.4612,-71.1419,83.1,74,13,9.4,TC,1666215325
276,Turukhansk,65.8167,87.9833,32.83,94,100,17.6,RU,1666215303
277,San Jose,37.3394,-121.895,96.6,26,40,7.0,US,1666214687
278,Barrow,71.2906,-156.7887,24.82,86,100,6.91,US,1666215151
279,Pevek,69.7008,170.3133,28.54,96,100,5.19,RU,1666215130
280,Sioux Lookout,50.1001,-91.917,37.47,56,100,4.61,CA,1666215325
281,Sulangan,11.1373,123.7228,82.89,71,100,1.14,PH,1666215326
282,Kieta,-6.2167,155.6333,84.42,60,90,2.28,PG,1666215326
283,Luang Prabang,19.8856,102.1347,61.34,79,2,1.54,LA,1666215326
284,Mossamedes,-15.1961,12.1522,63.52,89,21,7.4,AO,1666215326
285,Mount Gambier,-37.8333,140.7667,56.17,83,18,9.66,AU,1666215100
286,Aykhal,66.0,111.5,18.72,88,100,9.1,RU,1666215210
287,Asău,46.4333,26.4,47.32,82,82,1.9,RO,1666215302
288,Zheleznodorozhnyy,55.7503,38.0042,45.14,88,99,6.31,RU,1666215327
289,Fairbanks,64.8378,-147.7164,38.82,90,100,3.44,US,1666215094
290,Laas,46.6166,10.7002,56.28,75,57,2.06,IT,1666215327
291,Orotukan,62.2667,151.7,5.86,95,100,4.63,RU,1666215328
292,Posse,-14.0931,-46.3694,84.78,20,81,7.76,BR,1666215081
293,Karia,11.7306,11.1629,80.46,27,78,7.56,NG,1666215328
294,Briançon,44.9,6.65,57.36,56,69,1.25,FR,1666215328
295,Gonder,12.6,37.4667,56.35,73,20,3.33,ET,1666215329
296,Wabash,40.7978,-85.8205,51.37,40,2,15.73,US,1666215329
297,Bonavista,48.6499,-53.1147,53.17,88,7,11.23,CA,1666215143
298,Usinsk,65.9939,57.5281,32.16,85,100,15.64,RU,1666215299
299,Isangel,-19.55,169.2667,78.91,69,90,6.91,VU,1666215162
300,Forquilhinha,-28.7475,-49.4722,66.07,91,76,2.35,BR,1666215329
301,Eyl,7.9803,49.8164,77.95,84,10,11.32,SO,1666215273
302,Saldanha,-33.0117,17.9442,62.65,90,73,10.49,ZA,1666215149
303,Acajutla,13.5928,-89.8275,81.99,84,72,9.64,SV,1666215261
304,Boo,59.3333,18.2833,41.77,87,54,5.75,SE,1666215330
305,Laguna,38.421,-121.4238,90.32,28,0,3.44,US,1666215288
306,Kopargaon,19.8833,74.4833,73.04,84,32,5.97,IN,1666215330
307,Codajás,-3.8367,-62.0569,77.29,88,90,2.24,BR,1666215330
308,Neepawa,50.2289,-99.4664,66.6,43,85,11.45,CA,1666215331
309,Richards Bay,-28.783,32.0377,72.0,83,97,12.48,ZA,1666215144
310,Demba,-5.51,22.2667,67.82,96,97,3.13,CD,1666215331
311,Katsuura,35.1333,140.3,51.82,62,0,12.84,JP,1666215331
312,Kalangala,-0.3089,32.225,71.46,73,98,5.23,UG,1666215332
313,Upernavik,72.7868,-56.1549,21.25,82,100,2.77,GL,1666215149
314,Katherine,-14.4667,132.2667,75.52,88,56,0.0,AU,1666215332
315,Longyearbyen,78.2186,15.6401,28.24,64,40,25.32,SJ,1666215153
316,Ketchikan,55.3422,-131.6461,54.07,94,75,14.97,US,1666215324
317,Provideniya,64.3833,-173.3,33.91,100,100,22.37,RU,1666215189
318,Mahibadhoo,3.7833,72.9667,81.43,75,80,14.05,MV,1666215333
319,Tonj,7.2737,28.6822,71.65,92,79,0.25,SS,1666215333
320,Øystese,60.3882,6.1925,37.58,82,4,2.86,NO,1666215333
321,Seoul,37.5683,126.9778,45.84,97,0,2.3,KR,1666215052
322,Tuatapere,-46.1333,167.6833,48.88,74,72,10.6,NZ,1666215165
323,Boueni,-12.9025,45.0761,73.38,74,16,7.58,YT,1666215333
324,Yazman,29.1212,71.7446,77.36,24,0,11.32,PK,1666215334
325,Buala,-8.145,159.5921,85.17,67,92,2.82,SB,1666215334
326,Helmstedt,52.2279,11.0099,44.55,87,97,7.18,DE,1666215334
327,Vanderhoof,54.0166,-124.0198,56.82,65,100,5.35,CA,1666215335
328,Coyhaique,-45.5752,-72.0662,56.01,67,75,9.22,CL,1666215335
329,Grants Pass,42.439,-123.3284,84.88,27,0,4.61,US,1666215211
330,Labuhan,-6.8844,112.2051,78.17,87,99,5.1,ID,1666215293
331,Sisimiut,66.9395,-53.6735,25.56,80,90,7.38,GL,1666215183
332,Kahului,20.8947,-156.47,87.82,61,20,10.36,US,1666215191
333,Lohja,60.2486,24.0653,42.48,100,53,5.01,FI,1666215335
334,Zyryanka,65.75,150.85,10.15,87,100,16.04,RU,1666215176
335,Gimli,50.6336,-96.9907,42.82,65,88,5.75,CA,1666215336
336,Lao Cai,22.4833,103.95,63.81,71,91,0.92,VN,1666215336
337,Bathsheba,13.2167,-59.5167,83.01,83,20,12.66,BB,1666215040
338,Bulgan,48.8125,103.5347,37.27,78,100,1.83,MN,1666215336
339,Inuvik,68.3499,-133.7218,27.36,93,100,9.22,CA,1666215337
340,Powell River,49.8496,-124.5361,64.04,63,40,9.22,CA,1666215337
341,Obukhiv,50.11,30.6227,47.59,74,99,15.88,UA,1666215337
342,Fukuechō,32.6881,128.8419,65.12,57,0,18.3,JP,1666215339
343,Abu Kamal,34.4506,40.9171,80.22,18,98,7.36,SY,1666215284
344,Emerald,-23.5333,148.1667,67.33,96,70,14.29,AU,1666215180
345,Yakeshi,49.2833,120.7333,31.73,66,71,4.07,CN,1666215339
346,Nelson Bay,-32.7167,152.15,66.99,97,100,7.0,AU,1666215285
347,Copiapó,-27.3667,-70.3333,58.69,28,0,7.47,CL,1666215339
348,Parfino,57.9731,31.6481,36.09,91,14,5.3,RU,1666215340
349,Ust'-Karsk,52.7011,118.8077,28.02,85,7,3.42,RU,1666215340
350,Rodolfo Sánchez Taboada,31.7167,-116.5667,75.09,73,15,7.0,MX,1666215340
351,Sitka,57.0531,-135.33,53.49,82,100,23.02,US,1666215175
352,San Cristobal,7.7669,-72.225,78.98,92,95,2.33,VE,1666215145
353,Qeshm,26.9581,56.2719,78.69,57,70,2.91,IR,1666215341
354,Lebu,-37.6167,-73.65,54.28,82,41,7.99,CL,1666215215
355,Lokosovo,61.1333,74.8167,39.24,87,100,9.98,RU,1666215341
356,Şile,41.1754,29.6133,57.56,76,32,1.81,TR,1666215341
357,Kralendijk,12.15,-68.2667,84.18,74,40,17.27,BQ,1666215342
358,Kangaatsiaq,68.3065,-53.4641,31.46,54,100,20.51,GL,1666215287
